Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Foligno Calcio,M,,2014-2015,2014-2015,0,0,
Frosinone Calcio,M,Serie B,2006-2007,2022-2023,14,0,
Gallipoli Calcio,M,,2009-2010,2009-2010,1,0,
Genoa CFC,M,Serie B,1989-1990,2022-2023,27,0,
GSD Ambrosiana,M,,2020-2021,2020-2021,0,0,
GSD RapalloBogliasco,M,,2014-2015,2014-2015,0,0,
Hellas Verona FC,M,Serie A,1988-1989,2022-2023,24,0,
Hellas Verona Women,F,,2019-2020,2021-2022,3,,
History of FC Turris 1944 ASD,M,,2019-2020,2019-2020,0,0,ASD Turris Calcio
Imolese Calcio 1919,M,,2017-2018,2019-2020,0,0,
Internazionale,F,Serie A,2019-2020,2022-2023,4,,
Internazionale,M,Serie A,1988-1989,2022-2023,35,7,
Juventus FC,M,Serie A,1988-1989,2022-2023,35,16,
Juventus FC Women,F,Serie A,2018-2019,2022-2023,5,4,
L'Aquila Calcio 1927,M,,2014-2015,2015-2016,0,0,
Modena FC,M,Serie B,2001-2002,2022-2023,16,0,Modena FC 2018
Monterosi FC,M,,2017-2018,2017-2018,0,0,
Novara Calcio,M,,2010-2011,2020-2021,7,0,
Paganese Calcio 1926,M,,2017-2018,2017-2018,0,0,
Parma Calcio 1913,F,Serie A,2022-2023,2022-2023,1,,
Parma FC,M,Serie B,1990-1991,2022-2023,31,0,
Piacenza Calcio 1919,M,,1993-1994,2020-2021,16,0,
Pink Bari Calcio,F,,2018-2019,2020-2021,3,,
Pordenone Calcio,M,,2016-2017,2021-2022,3,0,
Potenza FC,M,,2015-2016,2020-2021,0,0,SSD Potenza Calcio
PS AZ Picerno 1973,M,,2018-2019,2018-2019,0,0,
Ravenna FC,M,,2007-2008,2019-2020,1,0,
Reggina Calcio,M,Serie B,1999-2000,2022-2023,18,0,US Reggina 1914
Santarcangelo Calcio,M,,2014-2015,2014-2015,0,0,
Savona F.B.C.,M,,2014-2015,2014-2015,0,0,Savona FBC
SC Caronnese ASD,M,,2016-2017,2016-2017,0,0,SC Caronnese
SC Siracusa,M,,2017-2018,2017-2018,0,0,Siracusa Calcio
SPAL 2013,M,Serie B,2015-2016,2022-2023,7,1,
Spezia Calcio,M,Serie A,2006-2007,2022-2023,13,0,
SS Juve Stabia,M,,2011-2012,2020-2021,4,0,
SS Lazio,M,Serie A,1988-1989,2022-2023,35,1,
SS Lazio CF,F,,2021-2022,2021-2022,1,,
SS Maceratese 1922,M,,2016-2017,2016-2017,0,0,
SS Matelica Calcio,M,,2014-2015,2019-2020,0,0,
SS Matera Calcio,M,,2015-2016,2017-2018,0,0,
SS Monopoli 1966,M,,2018-2019,2020-2021,0,0,
SS Rende,M,,2015-2016,2019-2020,0,0,Rende Calcio 1968
SS Teramo Calcio,M,,2014-2015,2020-2021,0,0,
SS Virtus Lanciano 1924,M,,2012-2013,2015-2016,4,0,
SSC Napoli,M,Serie A,1988-1989,2022-2023,31,1,
SSD Casarano Calcio,M,,2020-2021,2020-2021,0,0,
SSD ChievoVerona Valpo,F,,2018-2019,2018-2019,1,,
SSD Correggese Calcio 1948,M,,2014-2015,2014-2015,0,0,Correggese Calcio 1948
SSD Massese,M,,2017-2018,2017-2018,0,0,US Massese 1919
SSD Napoli Femminile,F,,2020-2021,2021-2022,2,,
SSD San Nicolò Calcio,M,,2020-2021,2020-2021,0,0,
Taranto FC 1927,M,,2014-2015,2014-2015,0,0,
Ternana Calcio,M,Serie B,2001-2002,2022-2023,13,0,
Terracina Calcio 1925,M,,2014-2015,2014-2015,0,0,
Torino FC,M,Serie A,1988-1989,2022-2023,30,0,
Trapani Calcio,M,,2013-2014,2020-2021,5,0,
Treviso FBC 1993,M,,2003-2004,2008-2009,6,0,
Tritium Calcio 1908,M,,2020-2021,2020-2021,0,0,
UC AlbinoLeffe,M,,2003-2004,2020-2021,9,0,
UC Sampdoria,F,Serie A,2021-2022,2022-2023,2,,
UC Sampdoria,M,Serie A,1988-1989,2022-2023,33,1,
Udinese Calcio,M,Serie A,1989-1990,2022-2023,31,0,
UPC Tavagnacco,F,,2018-2019,2019-2020,2,,
US Adriese,M,,2019-2020,2019-2020,0,0,USD Adriese
US Alessandria Calcio 1912,M,,2014-2015,2021-2022,1,0,
US Arezzo,M,,2004-2005,2020-2021,3,0,SS Arezzo
US Avellino 1912,M,,2003-2004,2021-2022,9,0,
US Catanzaro 1929,M,,2004-2005,2022-2023,2,0,US Catanzaro
US Città di Palermo,M,Serie B,2001-2002,2022-2023,19,2,
US Città di Pontedera,M,,2014-2015,2020-2021,0,0,
US Cremonese,M,Serie A,1989-1990,2022-2023,12,0,
US Grosseto FC,M,,2007-2008,2016-2017,6,0,FC Grosseto SSD
US Latina Calcio,M,,2013-2014,2016-2017,4,0,
US Lecce,M,Serie A,1988-1989,2022-2023,23,2,
US Pistoiese 1921,M,,2001-2002,2018-2019,1,0,
US Poggibonsi,M,,2015-2016,2015-2016,0,0,
US Salernitana 1919,M,Serie A,1998-1999,2022-2023,15,0,
US Sassuolo Calcio,F,Serie A,2018-2019,2022-2023,5,,
US Sassuolo Calcio,M,Serie A,2008-2009,2022-2023,15,1,
US Triestina Calcio,M,,2002-2003,2020-2021,9,0,US Triestina Calcio 1918
USD 1913 Seregno Calcio,M,,2016-2017,2016-2017,0,0,US 1913 Seregno Calcio
USD Akragas Città dei Templi,M,,2014-2015,2014-2015,0,0,SS Akragas
USD Breno,M,,2020-2021,2020-2021,0,0,
USD Cavese 1919,M,,2019-2020,2019-2020,0,0,
USD Olginatese,M,,2014-2015,2014-2015,0,0,
USD Sestri Levante 1919,M,,2015-2016,2015-2016,0,0,US Sestri Levante
Venezia FC,M,Serie B,1998-1999,2022-2023,12,0,AC Venezia 1907Unione Venezia
Vicenza Calcio,M,,1995-1996,2021-2022,22,0,L.R. Vicenza Virtus
Virtus Entella,M,,2014-2015,2020-2021,6,0,ACD Virtus Entella
