Squad,Gender,Comp,From,To,Comps,Champs,Other Names
CDA Navalcarnero,M,,2018-2019,2022-2023,0,0,
CE Andratx,M,,2019-2020,2021-2022,0,0,
CE Cardassar,M,,2020-2021,2022-2023,0,0,
CE Europa,M,,2021-2022,2021-2022,0,0,
CE L'Hospitalet,M,,2014-2015,2020-2021,0,0,
CE Manacor,M,,2022-2023,2022-2023,0,,
CE Sabadell FC,M,,2011-2012,2021-2022,5,0,
Celta de Vigo,M,La Liga,1988-1989,2022-2023,33,0,
CF Badalona,M,,2017-2018,2019-2020,0,0,
CF Extremadura,M,,1995-1996,2021-2022,5,0,Extremadura UD
CF Fuenlabrada,M,,2014-2015,2022-2023,3,0,
CF Illueca,M,,2019-2020,2019-2020,0,0,
CF Independiente Alicante,M,,2021-2022,2021-2022,0,0,
CF Intercity,M,,2019-2020,2022-2023,0,0,
CF Jaraíz,M,,2021-2022,2021-2022,0,0,
CF La Nucía,M,,2019-2020,2022-2023,0,0,
CF Lorca Deportiva,M,,2016-2017,2020-2021,0,0,
CF Montañesa,M,,2020-2021,2020-2021,0,0,
CF Panadería Pulido,M,,2021-2022,2021-2022,0,0,
CF Rayo Majadahonda,M,,2015-2016,2022-2023,1,0,
CF Reus Deportiu,M,,2015-2016,2018-2019,3,0,
CF Rusadir,M,,2020-2021,2020-2021,0,0,
CF San Agustín de Guadalix,M,,2021-2022,2021-2022,0,0,
CF Talavera de la Reina,M,,2015-2016,2021-2022,0,0,
CF Trival Valderas,M,,2014-2015,2014-2015,0,0,
CF Villanovense,M,,2014-2015,2020-2021,0,0,
CFJ Mollerussa,M,,2021-2022,2022-2023,0,0,
Ciudad de Murcia,M,,2003-2004,2006-2007,4,0,
Club Deportivo Aldeano,M,,2021-2022,2021-2022,0,0,
Club Deportivo Anaitasuna,M,,2020-2021,2020-2021,0,0,
Club Deportivo Barquereño,M,,2019-2020,2019-2020,0,0,CD Barquereño
Club Deportivo Buñol,M,,2020-2021,2020-2021,0,0,
Club Deportivo Hernani,M,,2021-2022,2021-2022,0,0,
Club Portugalete,M,,2015-2016,2020-2021,0,0,
Comillas CF,M,,2019-2020,2019-2020,0,0,
Condal Club,M,,2015-2016,2015-2016,0,0,
Córdoba CF,M,,2001-2002,2022-2023,16,0,
Coruxo FC,M,,2019-2020,2022-2023,0,0,
CP Cacereño,M,,2017-2018,2022-2023,0,0,
CP Chinato,M,,2020-2021,2020-2021,0,0,
CP Mérida,M,,1995-1996,1997-1998,2,0,
Cultural y Deportiva Leonesa,M,,2015-2016,2021-2022,1,0,
Deportivo Alavés,M,Segunda División,1998-1999,2022-2023,21,1,
Deportivo Alavés Gloriosas,F,Liga F,2022-2023,2022-2023,1,,
Deportivo de La Coruña,M,,1989-1990,2022-2023,29,2,
Dinamo de San Juan CF,M,,2022-2023,2022-2023,0,,
El Palmar CF,M,,2019-2020,2019-2020,0,0,
Elche CF,M,La Liga,1988-1989,2022-2023,22,1,
FC Andorra,M,Segunda División,2019-2020,2022-2023,1,0,
FC Ascó,M,,2015-2016,2015-2016,0,0,
FC Barcelona,M,La Liga,1988-1989,2022-2023,35,16,
FC Barcelona B,M,,2010-2011,2017-2018,6,0,
FC Barcelona Femení,F,Liga F,2014-2015,2022-2023,1,0,
FC Cartagena,M,Segunda División,2009-2010,2022-2023,6,0,
FC Jumilla,M,,2015-2016,2015-2016,0,0,
FC Levante Las Planas,F,Liga F,2022-2023,2022-2023,1,,
Gernika Club,M,,2018-2019,2022-2023,0,0,SD
Getafe CF,M,La Liga,2002-2003,2022-2023,21,0,
Gimnàstic de Tarragona,M,,2001-2002,2022-2023,13,0,
Gimnástica de Torrelavega,M,,2014-2015,2022-2023,0,0,Real Sociedad Gimnástica de Torrelavega
Gimnástica Segoviana CF,M,,2017-2018,2021-2022,0,0,
Girona FC,M,La Liga,2008-2009,2022-2023,15,0,
Granada 74 CF,M,,2007-2008,2007-2008,1,0,
Granada CF,M,Segunda División,2010-2011,2022-2023,13,0,
Haro Deportivo,M,,2019-2020,2020-2021,0,0,
