,league_name,year,transfer_period,fee_cleaned
381,Premier League,2022,Winter,930.0
382,Primera Division,2022,Winter,25.0
383,Serie A,2022,Winter,30.0
384,1 Bundesliga,2022,Winter,70.0
385,Ligue 1,2022,Winter,125.0
