club_name,player_name,club_involved_name,transfer_movement,transfer_period,fee_cleaned,league_name,Squad,country
Manchester City,Philippe Sandler,PEC Zwolle,in,Summer,2.5,Premier League,PEC Zwolle,Netherlands
Manchester United,Diogo Dalot,FC Porto,in,Summer,22.0,Premier League,FC Porto,Portugal
Liverpool FC,Alisson,AS Roma,in,Summer,62.5,Premier League,AS Roma,Italy
Liverpool FC,Alisson,AS Roma,in,Summer,62.5,Premier League,AS Roma,Italy
Liverpool FC,Naby Keïta,RB Leipzig,in,Summer,60.0,Premier League,RB Leipzig,Germany
Liverpool FC,Naby Keïta,RB Leipzig,in,Summer,60.0,Premier League,RB Leipzig,Germany
Chelsea FC,Jorginho,SSC Napoli,in,Summer,57.0,Premier League,SSC Napoli,Italy
Arsenal FC,Lucas Torreira,UC Sampdoria,in,Summer,28.65,Premier League,UC Sampdoria,Italy
Arsenal FC,Lucas Torreira,UC Sampdoria,in,Summer,28.65,Premier League,UC Sampdoria,Italy
Arsenal FC,Bernd Leno,Bayer 04 Leverkusen,in,Summer,25.0,Premier League,Bayer 04 Leverkusen,Germany
Arsenal FC,Bernd Leno,Bayer 04 Leverkusen,in,Summer,25.0,Premier League,Bayer 04 Leverkusen,Germany
Arsenal FC,Sokratis Papastathopoulos,Borussia Dortmund,in,Summer,16.0,Premier League,Borussia Dortmund,Germany
Arsenal FC,Mattéo Guendouzi,FC Lorient,in,Summer,8.0,Premier League,FC Lorient,France
Arsenal FC,Stephan Lichtsteiner,Juventus FC,in,Summer,0.0,Premier League,Juventus FC,Italy
Burnley FC,Ben Gibson,Middlesbrough FC,in,Summer,16.9,Premier League,Middlesbrough FC,England
Everton FC,Richarlison,Watford FC,in,Summer,39.2,Premier League,Watford FC,England
Everton FC,Yerry Mina,FC Barcelona,in,Summer,30.25,Premier League,FC Barcelona,Spain
Everton FC,Lucas Digne,FC Barcelona,in,Summer,20.2,Premier League,FC Barcelona,Spain
Everton FC,Kurt Zouma,Chelsea FC,in,Summer,7.9,Premier League,Chelsea FC,England
Everton FC,André Gomes,FC Barcelona,in,Summer,2.25,Premier League,FC Barcelona,Spain
Leicester City,Ricardo Pereira,FC Porto,in,Summer,22.0,Premier League,FC Porto,Portugal
Leicester City,Caglar Söyüncü,SC Freiburg,in,Summer,21.1,Premier League,SC Freiburg,Germany
Leicester City,Caglar Söyüncü,SC Freiburg,in,Summer,21.1,Premier League,SC Freiburg,Germany
Leicester City,Danny Ward,Liverpool FC,in,Summer,14.0,Premier League,Liverpool FC,England
Newcastle United,Mikel Merino,Borussia Dortmund,in,Summer,7.0,Premier League,Borussia Dortmund,Germany
Newcastle United,Fabian Schär,Deportivo de La Coruña,in,Summer,4.0,Premier League,Deportivo de La Coruña,Spain
Crystal Palace,Vicente Guaita,Getafe CF,in,Summer,0.0,Premier League,Getafe CF,Spain
Crystal Palace,Max Meyer,FC Schalke 04,in,Summer,0.0,Premier League,FC Schalke 04,Germany
AFC Bournemouth,Jefferson Lerma,Levante UD,in,Summer,30.5,Premier League,Levante UD,Spain
AFC Bournemouth,Diego Rico,CD Leganés,in,Summer,15.0,Premier League,CD Leganés,Spain
West Ham United,Felipe Anderson,SS Lazio,in,Summer,38.0,Premier League,SS Lazio,Italy
West Ham United,Andriy Yarmolenko,Borussia Dortmund,in,Summer,20.0,Premier League,Borussia Dortmund,Germany
West Ham United,Lucas Pérez,Arsenal FC,in,Summer,4.4,Premier League,Arsenal FC,England
West Ham United,Jack Wilshere,Arsenal FC,in,Summer,0.0,Premier League,Arsenal FC,England
West Ham United,Ryan Fredericks,Fulham FC,in,Summer,0.0,Premier League,Fulham FC,England
West Ham United,Carlos Sánchez,ACF Fiorentina,in,Summer,0.0,Premier League,ACF Fiorentina,Italy
Watford FC,Gerard Deulofeu,FC Barcelona,in,Summer,13.0,Premier League,FC Barcelona,Spain
Watford FC,Adam Masina,Bologna FC 1909,in,Summer,5.0,Premier League,Bologna FC 1909,Italy
Watford FC,Ken Sema,Östersunds FK,in,Summer,2.25,Premier League,Östersunds FK,Other
Watford FC,Ben Wilmot,Stevenage FC,in,Summer,1.7,Premier League,Stevenage FC,England
Brighton & Hove Albion,Alireza Jahanbakhsh,AZ Alkmaar,in,Summer,19.0,Premier League,AZ Alkmaar,Netherlands
Brighton & Hove Albion,Bernardo,RB Leipzig,in,Summer,10.0,Premier League,RB Leipzig,Germany
Brighton & Hove Albion,Bernardo,RB Leipzig,in,Summer,10.0,Premier League,RB Leipzig,Germany
Brighton & Hove Albion,Martín Montoya,Valencia CF,in,Summer,7.0,Premier League,Valencia CF,Spain
Brighton & Hove Albion,Florin Andone,Deportivo de La Coruña,in,Summer,6.0,Premier League,Deportivo de La Coruña,Spain
Brighton & Hove Albion,David Button,Fulham FC,in,Summer,4.5,Premier League,Fulham FC,England
Brighton & Hove Albion,Anders Dreyer,Esbjerg fB,in,Summer,2.2,Premier League,Esbjerg fB,Other
Brighton & Hove Albion,Jason Steele,Sunderland AFC,in,Summer,0.0,Premier League,Sunderland AFC,England
Huddersfield Town,Florent Hadergjonaj,FC Ingolstadt 04,in,Summer,5.0,Premier League,FC Ingolstadt 04,Germany
Huddersfield Town,Florent Hadergjonaj,FC Ingolstadt 04,in,Summer,5.0,Premier League,FC Ingolstadt 04,Germany
Huddersfield Town,Juninho Bacuna,FC Groningen,in,Summer,2.5,Premier League,FC Groningen,Netherlands
Huddersfield Town,Isaac Mbenza,Montpellier HSC,in,Summer,2.5,Premier League,Montpellier HSC,France
Huddersfield Town,Isaac Mbenza,Montpellier HSC,in,Summer,2.5,Premier League,Montpellier HSC,France
Huddersfield Town,Erik Durm,Borussia Dortmund,in,Summer,0.0,Premier League,Borussia Dortmund,Germany
Southampton FC,Jannik Vestergaard,Borussia Mönchengladbach,in,Summer,25.0,Premier League,Borussia Mönchengladbach,Germany
Southampton FC,Jannik Vestergaard,Borussia Mönchengladbach,in,Summer,25.0,Premier League,Borussia Mönchengladbach,Germany
Southampton FC,Stuart Armstrong,Celtic FC,in,Summer,7.95,Premier League,Celtic FC,Other
Wolverhampton Wanderers,Adama Traoré,Middlesbrough FC,in,Summer,20.0,Premier League,Middlesbrough FC,England
Wolverhampton Wanderers,Rui Patrício,Sporting CP,in,Summer,18.0,Premier League,Sporting CP,Portugal
Wolverhampton Wanderers,Rui Patrício,Sporting CP,in,Summer,18.0,Premier League,Sporting CP,Portugal
Wolverhampton Wanderers,Willy Boly,FC Porto,in,Summer,12.0,Premier League,FC Porto,Portugal
Wolverhampton Wanderers,Benik Afobe,AFC Bournemouth,in,Summer,11.4,Premier League,AFC Bournemouth,England
Wolverhampton Wanderers,Raúl Jiménez,SL Benfica,in,Summer,3.0,Premier League,SL Benfica,Portugal
Wolverhampton Wanderers,Leander Dendoncker,RSC Anderlecht,in,Summer,1.5,Premier League,RSC Anderlecht,Belgium
Wolverhampton Wanderers,Leander Dendoncker,RSC Anderlecht,in,Summer,1.5,Premier League,RSC Anderlecht,Belgium
Fulham FC,Jean Michaël Seri,OGC Nice,in,Summer,30.0,Premier League,OGC Nice,France
Fulham FC,Maxime Le Marchand,OGC Nice,in,Summer,4.0,Premier League,OGC Nice,France
Fulham FC,André Schürrle,Borussia Dortmund,in,Summer,0.4,Premier League,Borussia Dortmund,Germany
Manchester City,Ko Itakura,Kawasaki Frontale,in,Winter,1.1,Premier League,Kawasaki Frontale,Other
Chelsea FC,Christian Pulisic,Borussia Dortmund,in,Winter,64.0,Premier League,Borussia Dortmund,Germany
Chelsea FC,Gonzalo Higuaín,Juventus FC,in,Winter,7.8,Premier League,Juventus FC,Italy
Arsenal FC,Denis Suárez,FC Barcelona,in,Winter,2.5,Premier League,FC Barcelona,Spain
Crystal Palace,Michy Batshuayi,Chelsea FC,in,Winter,1.15,Premier League,Chelsea FC,England
AFC Bournemouth,Dominic Solanke,Liverpool FC,in,Winter,21.2,Premier League,Liverpool FC,England
AFC Bournemouth,Chris Mepham,Brentford FC,in,Winter,13.6,Premier League,Brentford FC,England
Cardiff City,Emiliano Sala,FC Nantes,in,Winter,6.0,Premier League,FC Nantes,France
Cardiff City,Leandro Bacuna,Reading FC,in,Winter,3.45,Premier League,Reading FC,England
Fulham FC,Havard Nordtveit,TSG 1899 Hoffenheim,in,Winter,1.0,Premier League,TSG 1899 Hoffenheim,Germany
Fulham FC,Lazar Markovic,Liverpool FC,in,Winter,0.0,Premier League,Liverpool FC,England
Manchester City,João Cancelo,Juventus FC,in,Summer,65.0,Premier League,Juventus FC,Italy
Manchester City,Pedro Porro,Girona FC,in,Summer,12.0,Premier League,Girona FC,Spain
Manchester City,Angeliño,PSV Eindhoven,in,Summer,12.0,Premier League,PSV Eindhoven,Netherlands
Manchester City,Ryotaro Meshino,Gamba Osaka,in,Summer,1.0,Premier League,Gamba Osaka,Other
Liverpool FC,Sepp van den Berg,PEC Zwolle,in,Summer,1.9,Premier League,PEC Zwolle,Netherlands
Liverpool FC,Andy Lonergan,Middlesbrough FC,in,Summer,0.0,Premier League,Middlesbrough FC,England
Tottenham Hotspur,Ryan Sessegnon,Fulham FC,in,Summer,27.0,Premier League,Fulham FC,England
Arsenal FC,William Saliba,AS Saint-Étienne,in,Summer,30.0,Premier League,AS Saint-Étienne,France
Arsenal FC,William Saliba,AS Saint-Étienne,in,Summer,30.0,Premier League,AS Saint-Étienne,France
Arsenal FC,Kieran Tierney,Celtic FC,in,Summer,27.0,Premier League,Celtic FC,Other
Arsenal FC,David Luiz,Chelsea FC,in,Summer,8.7,Premier League,Chelsea FC,England
Wolverhampton Wanderers,Raúl Jiménez,SL Benfica,in,Summer,38.0,Premier League,SL Benfica,Portugal
Wolverhampton Wanderers,Patrick Cutrone,AC Milan,in,Summer,18.0,Premier League,AC Milan,Italy
Wolverhampton Wanderers,Patrick Cutrone,AC Milan,in,Summer,18.0,Premier League,AC Milan,Italy
Wolverhampton Wanderers,Pedro Neto,SS Lazio,in,Summer,17.9,Premier League,SS Lazio,Italy
Wolverhampton Wanderers,Leander Dendoncker,RSC Anderlecht,in,Summer,13.8,Premier League,RSC Anderlecht,Belgium
Wolverhampton Wanderers,Leander Dendoncker,RSC Anderlecht,in,Summer,13.8,Premier League,RSC Anderlecht,Belgium
Wolverhampton Wanderers,Bruno Jordão,SS Lazio,in,Summer,8.9,Premier League,SS Lazio,Italy
Wolverhampton Wanderers,Renat Dadashov,GD Estoril Praia,in,Summer,0.5,Premier League,GD Estoril Praia,Portugal
Everton FC,Alex Iwobi,Arsenal FC,in,Summer,30.4,Premier League,Arsenal FC,England
Everton FC,Moise Kean,Juventus FC,in,Summer,27.5,Premier League,Juventus FC,Italy
Everton FC,André Gomes,FC Barcelona,in,Summer,25.0,Premier League,FC Barcelona,Spain
Leicester City,Dennis Praet,UC Sampdoria,in,Summer,19.2,Premier League,UC Sampdoria,Italy
Leicester City,Dennis Praet,UC Sampdoria,in,Summer,19.2,Premier League,UC Sampdoria,Italy
Leicester City,Callum Hulme,Bury FC,in,Summer,0.0,Premier League,Bury FC,England
West Ham United,Sébastien Haller,Eintracht Frankfurt,in,Summer,50.0,Premier League,Eintracht Frankfurt,Germany
West Ham United,Sébastien Haller,Eintracht Frankfurt,in,Summer,50.0,Premier League,Eintracht Frankfurt,Germany
West Ham United,Pablo Fornals,Villarreal CF,in,Summer,28.0,Premier League,Villarreal CF,Spain
West Ham United,David Martin,Millwall FC,in,Summer,0.0,Premier League,Millwall FC,England
Watford FC,Ismaïla Sarr,Stade Rennais FC,in,Summer,30.0,Premier League,Stade Rennais FC,France
Watford FC,Danny Welbeck,Arsenal FC,in,Summer,0.0,Premier League,Arsenal FC,England
Crystal Palace,James McCarthy,Everton FC,in,Summer,3.3,Premier League,Everton FC,England
Crystal Palace,Gary Cahill,Chelsea FC,in,Summer,0.0,Premier League,Chelsea FC,England
Newcastle United,Joelinton,TSG 1899 Hoffenheim,in,Summer,44.0,Premier League,TSG 1899 Hoffenheim,Germany
Newcastle United,Allan Saint-Maximin,OGC Nice,in,Summer,18.0,Premier League,OGC Nice,France
Newcastle United,Emil Krafth,Amiens SC,in,Summer,5.4,Premier League,Amiens SC,France
Newcastle United,Jetro Willems,Eintracht Frankfurt,in,Summer,1.0,Premier League,Eintracht Frankfurt,Germany
Newcastle United,Jetro Willems,Eintracht Frankfurt,in,Summer,1.0,Premier League,Eintracht Frankfurt,Germany
AFC Bournemouth,Arnaut Danjuma,Club Brugge KV,in,Summer,16.46,Premier League,Club Brugge KV,Belgium
AFC Bournemouth,Arnaut Danjuma,Club Brugge KV,in,Summer,16.46,Premier League,Club Brugge KV,Belgium
AFC Bournemouth,Harry Wilson,Liverpool FC,in,Summer,2.7,Premier League,Liverpool FC,England
Southampton FC,Danny Ings,Liverpool FC,in,Summer,25.1,Premier League,Liverpool FC,England
Southampton FC,Moussa Djenepo,Standard Liège,in,Summer,15.7,Premier League,Standard Liège,Belgium
Southampton FC,Kevin Danso,FC Augsburg,in,Summer,4.0,Premier League,FC Augsburg,Germany
Brighton & Hove Albion,Neal Maupay,Brentford FC,in,Summer,15.56,Premier League,Brentford FC,England
Brighton & Hove Albion,Leandro Trossard,KRC Genk,in,Summer,15.56,Premier League,KRC Genk,Belgium
Brighton & Hove Albion,Matt Clarke,Portsmouth FC,in,Summer,3.9,Premier League,Portsmouth FC,England
Norwich City,Ralf Fährmann,FC Schalke 04,in,Summer,3.0,Premier League,FC Schalke 04,Germany
Norwich City,Daniel Adshead,Rochdale AFC,in,Summer,0.335,Premier League,Rochdale AFC,England
Norwich City,Josip Drmic,Borussia Mönchengladbach,in,Summer,0.0,Premier League,Borussia Mönchengladbach,Germany
Norwich City,Josip Drmic,Borussia Mönchengladbach,in,Summer,0.0,Premier League,Borussia Mönchengladbach,Germany
Sheffield United,Lys Mousset,AFC Bournemouth,in,Summer,11.1,Premier League,AFC Bournemouth,England
Sheffield United,Michael Verrips,KV Mechelen,in,Summer,0.0,Premier League,KV Mechelen,Belgium
Sheffield United,Ravel Morrison,Östersunds FK,in,Summer,0.0,Premier League,Östersunds FK,Other
Sheffield United,Phil Jagielka,Everton FC,in,Summer,0.0,Premier League,Everton FC,England
Aston Villa,Wesley Moraes,Club Brugge KV,in,Summer,25.0,Premier League,Club Brugge KV,Belgium
Aston Villa,Wesley Moraes,Club Brugge KV,in,Summer,25.0,Premier League,Club Brugge KV,Belgium
Aston Villa,Tyrone Mings,AFC Bournemouth,in,Summer,22.3,Premier League,AFC Bournemouth,England
Aston Villa,Matt Targett,Southampton FC,in,Summer,15.5,Premier League,Southampton FC,England
Aston Villa,Ezri Konsa,Brentford FC,in,Summer,13.3,Premier League,Brentford FC,England
Aston Villa,Marvelous Nakamba,Club Brugge KV,in,Summer,12.0,Premier League,Club Brugge KV,Belgium
Aston Villa,Marvelous Nakamba,Club Brugge KV,in,Summer,12.0,Premier League,Club Brugge KV,Belgium
Aston Villa,Tom Heaton,Burnley FC,in,Summer,8.8,Premier League,Burnley FC,England
Tottenham Hotspur,Steven Bergwijn,PSV Eindhoven,in,Winter,30.0,Premier League,PSV Eindhoven,Netherlands
Tottenham Hotspur,Gedson Fernandes,SL Benfica,in,Winter,4.5,Premier League,SL Benfica,Portugal
Arsenal FC,Pablo Marí,CR Flamengo,in,Winter,8.0,Premier League,CR Flamengo,Other
Arsenal FC,Pablo Marí,CR Flamengo,in,Winter,8.0,Premier League,CR Flamengo,Other
Manchester United,Bruno Fernandes,Sporting CP,in,Winter,63.0,Premier League,Sporting CP,Portugal
Manchester United,Bruno Fernandes,Sporting CP,in,Winter,63.0,Premier League,Sporting CP,Portugal
West Ham United,Darren Randolph,Middlesbrough FC,in,Winter,4.7,Premier League,Middlesbrough FC,England
Watford FC,Ignacio Pussetto,Udinese Calcio,in,Winter,8.5,Premier League,Udinese Calcio,Italy
Newcastle United,Nabil Bentaleb,FC Schalke 04,in,Winter,1.0,Premier League,FC Schalke 04,Germany
Brighton & Hove Albion,Tariq Lamptey,Chelsea FC U23,in,Winter,1.2,Premier League,Chelsea FC U23,England
Norwich City,Lukas Rupp,TSG 1899 Hoffenheim,in,Winter,0.5,Premier League,TSG 1899 Hoffenheim,Germany
Sheffield United,Sander Berge,KRC Genk,in,Winter,23.0,Premier League,KRC Genk,Belgium
Aston Villa,Ally Samatta,KRC Genk,in,Winter,10.5,Premier League,KRC Genk,Belgium
Aston Villa,Pepe Reina,AC Milan,in,Winter,0.4,Premier League,AC Milan,Italy
Aston Villa,Pepe Reina,AC Milan,in,Winter,0.4,Premier League,AC Milan,Italy
Arsenal FC,Pablo Marí,CR Flamengo,in,Summer,6.0,Premier League,CR Flamengo,Other
Arsenal FC,Pablo Marí,CR Flamengo,in,Summer,6.0,Premier League,CR Flamengo,Other
Arsenal FC,Rúnar Alex Rúnarsson,Dijon FCO,in,Summer,2.0,Premier League,Dijon FCO,France
Arsenal FC,Rúnar Alex Rúnarsson,Dijon FCO,in,Summer,2.0,Premier League,Dijon FCO,France
Arsenal FC,Cédric Soares,Southampton FC,in,Summer,0.0,Premier League,Southampton FC,England
Arsenal FC,Willian,Chelsea FC,in,Summer,0.0,Premier League,Chelsea FC,England
Aston Villa,Ollie Watkins,Brentford FC,in,Summer,34.0,Premier League,Brentford FC,England
Aston Villa,Emiliano Martínez,Arsenal FC,in,Summer,17.4,Premier League,Arsenal FC,England
Brighton & Hove Albion,Jan Paul van Hecke,NAC Breda,in,Summer,2.0,Premier League,NAC Breda,Netherlands
Brighton & Hove Albion,Adam Lallana,Liverpool FC,in,Summer,0.0,Premier League,Liverpool FC,England
Brighton & Hove Albion,Danny Welbeck,Watford FC,in,Summer,0.0,Premier League,Watford FC,England
Chelsea FC,Kai Havertz,Bayer 04 Leverkusen,in,Summer,80.0,Premier League,Bayer 04 Leverkusen,Germany
Chelsea FC,Kai Havertz,Bayer 04 Leverkusen,in,Summer,80.0,Premier League,Bayer 04 Leverkusen,Germany
Chelsea FC,Timo Werner,RB Leipzig,in,Summer,53.0,Premier League,RB Leipzig,Germany
Chelsea FC,Timo Werner,RB Leipzig,in,Summer,53.0,Premier League,RB Leipzig,Germany
Chelsea FC,Edouard Mendy,Stade Rennais FC,in,Summer,24.0,Premier League,Stade Rennais FC,France
Chelsea FC,Malang Sarr,OGC Nice,in,Summer,0.0,Premier League,OGC Nice,France
Crystal Palace,Nathaniel Clyne,Liverpool FC,in,Summer,0.0,Premier League,Liverpool FC,England
Everton FC,Allan,SSC Napoli,in,Summer,23.6,Premier League,SSC Napoli,Italy
Everton FC,Abdoulaye Doucouré,Watford FC,in,Summer,22.0,Premier League,Watford FC,England
Fulham FC,Harrison Reed,Southampton FC,in,Summer,6.5,Premier League,Southampton FC,England
Fulham FC,Ola Aina,Torino FC,in,Summer,2.5,Premier League,Torino FC,Italy
Fulham FC,Mario Lemina,Southampton FC,in,Summer,2.2,Premier League,Southampton FC,England
Fulham FC,Ademola Lookman,RB Leipzig,in,Summer,2.0,Premier League,RB Leipzig,Germany
Fulham FC,Ademola Lookman,RB Leipzig,in,Summer,2.0,Premier League,RB Leipzig,Germany
Leeds United,Rodrigo,Valencia CF,in,Summer,30.0,Premier League,Valencia CF,Spain
Leeds United,Jean-Kévin Augustin,RB Leipzig,in,Summer,21.0,Premier League,RB Leipzig,Germany
Leeds United,Jean-Kévin Augustin,RB Leipzig,in,Summer,21.0,Premier League,RB Leipzig,Germany
Leeds United,Diego Llorente,Real Sociedad,in,Summer,20.0,Premier League,Real Sociedad,Spain
Leeds United,Raphinha,Stade Rennais FC,in,Summer,18.6,Premier League,Stade Rennais FC,France
Leeds United,Robin Koch,SC Freiburg,in,Summer,13.0,Premier League,SC Freiburg,Germany
Leeds United,Robin Koch,SC Freiburg,in,Summer,13.0,Premier League,SC Freiburg,Germany
Leeds United,Illan Meslier,FC Lorient,in,Summer,6.5,Premier League,FC Lorient,France
Leicester City,Wesley Fofana,AS Saint-Étienne,in,Summer,35.0,Premier League,AS Saint-Étienne,France
Leicester City,Wesley Fofana,AS Saint-Étienne,in,Summer,35.0,Premier League,AS Saint-Étienne,France
Leicester City,Timothy Castagne,Atalanta BC,in,Summer,20.9,Premier League,Atalanta BC,Italy
Leicester City,Cengiz Ünder,AS Roma,in,Summer,3.5,Premier League,AS Roma,Italy
Leicester City,Cengiz Ünder,AS Roma,in,Summer,3.5,Premier League,AS Roma,Italy
Manchester City,Rúben Dias,SL Benfica,in,Summer,71.6,Premier League,SL Benfica,Portugal
Manchester City,Nathan Aké,AFC Bournemouth,in,Summer,45.3,Premier League,AFC Bournemouth,England
Manchester City,Ferran Torres,Valencia CF,in,Summer,33.5,Premier League,Valencia CF,Spain
Manchester City,Issa Kaboré,KV Mechelen,in,Summer,4.5,Premier League,KV Mechelen,Belgium
Manchester United,Alex Telles,FC Porto,in,Summer,15.0,Premier League,FC Porto,Portugal
Newcastle United,Callum Wilson,AFC Bournemouth,in,Summer,22.25,Premier League,AFC Bournemouth,England
Newcastle United,Ryan Fraser,AFC Bournemouth,in,Summer,0.0,Premier League,AFC Bournemouth,England
Newcastle United,Jeff Hendrick,Burnley FC,in,Summer,0.0,Premier League,Burnley FC,England
Newcastle United,Mark Gillespie,Motherwell FC,in,Summer,0.0,Premier League,Motherwell FC,Other
Sheffield United,Rhian Brewster,Liverpool FC U23,in,Summer,26.0,Premier League,Liverpool FC U23,England
Sheffield United,Aaron Ramsdale,AFC Bournemouth,in,Summer,20.5,Premier League,AFC Bournemouth,England
Sheffield United,Wes Foderingham,Rangers FC,in,Summer,0.0,Premier League,Rangers FC,Other
Southampton FC,Ibrahima Diallo,Stade Brestois 29,in,Summer,12.0,Premier League,Stade Brestois 29,France
Tottenham Hotspur,Pierre-Emile Höjbjerg,Southampton FC,in,Summer,16.6,Premier League,Southampton FC,England
Tottenham Hotspur,Carlos Vinícius,SL Benfica,in,Summer,3.0,Premier League,SL Benfica,Portugal
Tottenham Hotspur,Joe Hart,Burnley FC,in,Summer,0.0,Premier League,Burnley FC,England
West Bromwich Albion,Matheus Pereira,Sporting CP,in,Summer,8.25,Premier League,Sporting CP,Portugal
West Bromwich Albion,Matheus Pereira,Sporting CP,in,Summer,8.25,Premier League,Sporting CP,Portugal
West Ham United,Saïd Benrahma,Brentford FC,in,Summer,4.4,Premier League,Brentford FC,England
West Ham United,Craig Dawson,Watford FC,in,Summer,1.1,Premier League,Watford FC,England
Wolverhampton Wanderers,Fábio Silva,FC Porto,in,Summer,40.0,Premier League,FC Porto,Portugal
Wolverhampton Wanderers,Nélson Semedo,FC Barcelona,in,Summer,32.0,Premier League,FC Barcelona,Spain
Wolverhampton Wanderers,Ki-Jana Hoever,Liverpool FC U23,in,Summer,9.8,Premier League,Liverpool FC U23,England
Wolverhampton Wanderers,Toti,GD Estoril Praia,in,Summer,0.789,Premier League,GD Estoril Praia,Portugal
Liverpool FC,Ozan Kabak,FC Schalke 04,in,Winter,2.5,Premier League,FC Schalke 04,Germany
Manchester City,Diego Rosa,Grêmio Foot-Ball Porto Alegrense,in,Winter,6.0,Premier League,Grêmio Foot-Ball Porto Alegrense,Other
Manchester United,Amad Diallo,Atalanta BC,in,Winter,21.3,Premier League,Atalanta BC,Italy
West Ham United,Saïd Benrahma,Brentford FC,in,Winter,23.1,Premier League,Brentford FC,England
West Ham United,Frederik Alves,Silkeborg IF,in,Winter,1.6,Premier League,Silkeborg IF,Other
Wolverhampton Wanderers,Willian José,Real Sociedad,in,Winter,3.0,Premier League,Real Sociedad,Spain
Arsenal FC,Takehiro Tomiyasu,Bologna FC 1909,in,Summer,18.6,Premier League,Bologna FC 1909,Italy
Arsenal FC,Albert Sambi Lokonga,RSC Anderlecht,in,Summer,17.5,Premier League,RSC Anderlecht,Belgium
Arsenal FC,Albert Sambi Lokonga,RSC Anderlecht,in,Summer,17.5,Premier League,RSC Anderlecht,Belgium
Arsenal FC,Nuno Tavares,SL Benfica,in,Summer,8.0,Premier League,SL Benfica,Portugal
Aston Villa,Leon Bailey,Bayer 04 Leverkusen,in,Summer,32.0,Premier League,Bayer 04 Leverkusen,Germany
Aston Villa,Leon Bailey,Bayer 04 Leverkusen,in,Summer,32.0,Premier League,Bayer 04 Leverkusen,Germany
Aston Villa,Danny Ings,Southampton FC,in,Summer,29.4,Premier League,Southampton FC,England
Brentford FC,Kristoffer Ajer,Celtic FC,in,Summer,15.7,Premier League,Celtic FC,Other
Brentford FC,Yoane Wissa,FC Lorient,in,Summer,10.0,Premier League,FC Lorient,France
Brentford FC,Frank Onyeka,FC Midtjylland,in,Summer,10.0,Premier League,FC Midtjylland,Other
Brentford FC,Álvaro Fernández,SD Huesca,in,Summer,1.0,Premier League,SD Huesca,Spain
Brighton & Hove Albion,Marc Cucurella,Getafe CF,in,Summer,18.0,Premier League,Getafe CF,Spain
Brighton & Hove Albion,Kaoru Mitoma,Kawasaki Frontale,in,Summer,3.0,Premier League,Kawasaki Frontale,Other
Burnley FC,Aaron Lennon,Kayserispor,in,Summer,0.0,Premier League,Kayserispor,Other
Chelsea FC,Marcus Bettinelli,Fulham FC,in,Summer,0.0,Premier League,Fulham FC,England
Crystal Palace,Marc Guéhi,Chelsea FC U23,in,Summer,23.34,Premier League,Chelsea FC U23,England
Crystal Palace,Odsonne Edouard,Celtic FC,in,Summer,16.3,Premier League,Celtic FC,Other
Crystal Palace,Michael Olise,Reading FC,in,Summer,9.3,Premier League,Reading FC,England
Crystal Palace,Will Hughes,Watford FC,in,Summer,7.0,Premier League,Watford FC,England
Crystal Palace,Remi Matthews,Sunderland AFC,in,Summer,0.0,Premier League,Sunderland AFC,England
Everton FC,Demarai Gray,Bayer 04 Leverkusen,in,Summer,2.0,Premier League,Bayer 04 Leverkusen,Germany
Everton FC,Demarai Gray,Bayer 04 Leverkusen,in,Summer,2.0,Premier League,Bayer 04 Leverkusen,Germany
Everton FC,Asmir Begovic,AFC Bournemouth,in,Summer,0.0,Premier League,AFC Bournemouth,England
Leeds United,Junior Firpo,FC Barcelona,in,Summer,15.0,Premier League,FC Barcelona,Spain
Leicester City,Jannik Vestergaard,Southampton FC,in,Summer,17.6,Premier League,Southampton FC,England
Leicester City,Ryan Bertrand,Southampton FC,in,Summer,0.0,Premier League,Southampton FC,England
Liverpool FC,Ibrahima Konaté,RB Leipzig,in,Summer,40.0,Premier League,RB Leipzig,Germany
Liverpool FC,Ibrahima Konaté,RB Leipzig,in,Summer,40.0,Premier League,RB Leipzig,Germany
Manchester United,Jadon Sancho,Borussia Dortmund,in,Summer,85.0,Premier League,Borussia Dortmund,Germany
Manchester United,Cristiano Ronaldo,Juventus FC,in,Summer,17.0,Premier League,Juventus FC,Italy
Newcastle United,Joe Willock,Arsenal FC,in,Summer,29.4,Premier League,Arsenal FC,England
Norwich City,Milot Rashica,SV Werder Bremen,in,Summer,11.0,Premier League,SV Werder Bremen,Germany
Norwich City,Milot Rashica,SV Werder Bremen,in,Summer,11.0,Premier League,SV Werder Bremen,Germany
Norwich City,Josh Sargent,SV Werder Bremen,in,Summer,9.5,Premier League,SV Werder Bremen,Germany
Norwich City,Josh Sargent,SV Werder Bremen,in,Summer,9.5,Premier League,SV Werder Bremen,Germany
Norwich City,Ben Gibson,Burnley FC,in,Summer,9.3,Premier League,Burnley FC,England
Norwich City,Angus Gunn,Southampton FC,in,Summer,5.85,Premier League,Southampton FC,England
Norwich City,Pierre Lees-Melou,OGC Nice,in,Summer,3.9,Premier League,OGC Nice,France
Norwich City,Ozan Kabak,FC Schalke 04,in,Summer,3.5,Premier League,FC Schalke 04,Germany
Southampton FC,Romain Perraud,Stade Brestois 29,in,Summer,12.0,Premier League,Stade Brestois 29,France
Southampton FC,Lyanco,Torino FC,in,Summer,7.5,Premier League,Torino FC,Italy
