Squad,Gender,Comp,From,To,Comps,Champs,Other Names
VfL Bochum 1848,F,,2020-2021,2022-2023,0,0,
VfL Bochum 1848 U17,M,B-Junioren Bundesliga,2016-2017,2022-2023,7,,
VfL Bochum 1848 U19,M,A-Junioren Bundesliga,2015-2016,2022-2023,8,,
VfL Jesteburg,F,,2022-2023,2022-2023,0,,
VfL Oldenburg,M,,2021-2022,2021-2022,0,0,
VfL Osnabrück,M,3. Fußball-Liga,2003-2004,2022-2023,17,2,
VfL Osnabrück U19,M,,2016-2017,2021-2022,5,,
VfL Wolfsburg,M,Fußball-Bundesliga,1997-1998,2022-2023,26,1,
VfL Wolfsburg,F,Frauen-Bundesliga,2014-2015,2022-2023,7,5,
VfL Wolfsburg U17,M,B-Junioren Bundesliga,2016-2017,2022-2023,7,,
VfL Wolfsburg U19,M,A-Junioren Bundesliga,2015-2016,2022-2023,8,,
VfR Aalen,M,,2010-2011,2018-2019,9,0,
VfR Schwarz-Weiß Warbeyen,F,,2022-2023,2022-2023,0,,
VfR Wormatia 08 Worms,F,,2021-2022,2021-2022,0,0,
VSG Altglienicke,M,,2020-2021,2020-2021,0,0,
Walddörfer SV,F,,2019-2020,2020-2021,0,0,
Wormatia Worms,M,,2018-2019,2018-2019,0,0,VfR Wormatia 08 Worms
Wuppertaler SV,M,,2009-2010,2021-2022,1,0,
Wuppertaler SV U17,M,,2019-2020,2021-2022,3,,
Wuppertaler SV U19,M,,2015-2016,2021-2022,5,,
Würzburger Kickers,M,,2014-2015,2021-2022,7,0,
