Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Montpellier HSC,M,Ligue 1,1995-1996,2022-2023,22,1,
Montpellier HSC,F,Championnat de France de Football Féminin,2017-2018,2022-2023,6,0,
Monts d'Or Azergues Foot,M,,2014-2015,2015-2016,0,0,Monts d'Or Anse Foot
MOS-3 Rivières FC,M,,2014-2015,2014-2015,0,0,
NDC Angers,M,,2022-2023,2022-2023,0,,
Nîmes Olympique,M,Ligue 2,2009-2010,2022-2023,13,0,
Noisy-le-Grand FC,M,,2018-2019,2018-2019,0,0,
OC Perpignan,M,,2015-2016,2015-2016,0,0,
OGC Nice,M,Ligue 1,1995-1996,2022-2023,23,0,
Olympique Adamois,M,,2019-2020,2019-2020,0,0,
Olympique Alès,M,,2014-2015,2022-2023,0,0,-en-Cévennes
Olympique de Marseille,M,Ligue 1,1990-1991,2022-2023,27,1,
Olympique de Marseille,F,,2017-2018,2019-2020,2,,
Olympique Grande-Synthe,M,,2019-2020,2019-2020,0,0,
Olympique Lumbrois,M,,2019-2020,2021-2022,0,0,
Olympique Lyonnais,M,Ligue 1,1991-1992,2022-2023,28,7,
Olympique Lyonnais Féminin,F,Championnat de France de Football Féminin,2014-2015,2022-2023,6,4,Olympique Lyonnais
Olympique Marcquois Football,M,,2016-2017,2022-2023,0,0,
Olympique Noisy-le-Sec,M,,2014-2015,2015-2016,0,0,B.93
Olympique Pavillais,M,,2016-2017,2016-2017,0,0,
Olympique Saint Marcellin,M,,2014-2015,2016-2017,0,0,
Olympique Saint-Quentin,M,,2018-2019,2022-2023,0,0,ois
Olympique Saumur FC,M,,2015-2016,2021-2022,0,0,
Olympique Strasbourg,M,,2018-2019,2018-2019,0,0,
Onet-le-Château Football,M,,2020-2021,2022-2023,0,0,
Orvault Sports Football,M,,2015-2016,2022-2023,0,0,
OS Aire-sur-la-Lys,M,,2020-2021,2020-2021,0,0,
OT St Liguare Niort,M,,2016-2017,2020-2021,0,0,
Pamandzi SC,M,,2020-2021,2020-2021,0,0,
Paris FC,M,Ligue 2,2014-2015,2022-2023,7,0,
Paris FC,F,Championnat de France de Football Féminin,2017-2018,2022-2023,6,,
Paris Saint-Germain FC,M,Ligue 1,1992-1993,2022-2023,28,8,
Paris Saint-Germain Féminines,F,Championnat de France de Football Féminin,2014-2015,2022-2023,6,1,Paris Saint-Germain FC
Pau FC,M,Ligue 2,2016-2017,2022-2023,3,0,
PD Ergué-Gabéric,M,,2021-2022,2022-2023,0,0,
Perpignan Canet FC,M,,2017-2018,2021-2022,0,0,Canet Roussillon FC
Plancoët-Arguenon FC,M,,2017-2018,2021-2022,0,0,
Ploufragan FC,M,,2016-2017,2016-2017,0,0,
Plouzané ACF,M,,2016-2017,2020-2021,0,0,
Podensac FC des Graves,M,,2014-2015,2014-2015,0,0,
Poitiers FC,M,,2016-2017,2022-2023,0,0,Stade Poitevin
Racing Besançon,M,,2015-2016,2020-2021,0,0,
RC Champigneulles,M,,2021-2022,2021-2022,0,0,
RC Clermont,M,,2014-2015,2014-2015,0,0,
RC Épernay Champagne,M,,2015-2016,2018-2019,0,0,
RC Grasse,M,,2019-2020,2022-2023,0,0,
RC Lens,M,Ligue 1,1995-1996,2022-2023,27,1,
RC Lons le Saunier,M,,2019-2020,2021-2022,0,0,
RC Rannée-La Guerche-Drouges,M,,2016-2017,2016-2017,0,0,
RC Salouël,M,,2021-2022,2021-2022,0,0,
RC Strasbourg Alsace,M,Ligue 1,1995-1996,2022-2023,19,1,
RC Vichy,M,,2014-2015,2021-2022,0,0,
RCFF Colombes 92,M,,2017-2018,2017-2018,0,0,
RCO Agde,M,,2014-2015,2022-2023,0,0,
RCS La Chapelle,M,,2018-2019,2018-2019,0,0,Saint-Luc
Red Star FC,M,,2014-2015,2022-2023,3,0,
Rodez AF,F,Championnat de France de Football Féminin,2017-2018,2022-2023,3,,
Rodez AF,M,Ligue 2,2016-2017,2022-2023,4,0,Rodez Aveyron Football
Rostrenen FC,M,,2015-2016,2015-2016,0,0,
RS Magny,M,,2015-2016,2021-2022,0,0,
SA Mérignac,M,,2022-2023,2022-2023,0,,
SA Sézanne,M,,2016-2017,2016-2017,0,0,
SA Thiers,M,,2015-2016,2022-2023,0,0,
Sablé FC,M,,2019-2020,2022-2023,0,0,
SAG Cestas,M,,2021-2022,2021-2022,0,0,
Saint-Amand FC,M,,2015-2016,2018-2019,0,0,
Saint-Brice FC,M,,2017-2018,2020-2021,0,0,
Saint-Colomban Locminé,M,,2016-2017,2020-2021,0,0,
Saint-Orens FC,M,,2018-2019,2018-2019,0,0,
Saint-Pierre Milizac,M,,2019-2020,2020-2021,0,0,
Saint-Pryve Saint-Hilaire FC,M,,2018-2019,2022-2023,0,0,Saint-Pryvé Saint-Hilaire FC
Sainte-Geneviève Sports,M,,2014-2015,2019-2020,0,0,
Sainte-Savine Rivière-de-Corps,M,,2014-2015,2014-2015,0,0,
Samaritaine,M,,2020-2021,2020-2021,0,0,
Sarreguemines FC,M,,2014-2015,2018-2019,0,0,
SAS Épinal,M,,2014-2015,2022-2023,0,0,
SC Anduzien,M,,2017-2018,2017-2018,0,0,
SC Bailleulois,M,,2020-2021,2020-2021,0,0,
SC Bastia,M,Ligue 2,1995-1996,2022-2023,19,1,
SC Bocognano Gravona,M,,2014-2015,2014-2015,0,0,
SC Clémenceau Besançon,M,,2014-2015,2014-2015,0,0,
SC Dinsheim,M,,2014-2015,2015-2016,0,0,
SC Douai,M,,2015-2016,2015-2016,0,0,
SC Ebersheim,M,,2015-2016,2015-2016,0,0,
SC Feignies,M,,2016-2017,2016-2017,0,0,
SC Feignies,M,,2017-2018,2022-2023,0,0,Entente Feignies Aulnoye FC
SC Hazebrouck,M,,2015-2016,2017-2018,0,0,
SC Hérouville-Saint-Clair,M,,2014-2015,2014-2015,0,0,
SC Le Rheu,M,,2019-2020,2019-2020,0,0,
SC Marnaval,M,,2022-2023,2022-2023,0,,
SC Schiltigheim,M,,2015-2016,2021-2022,0,0,
SC Selongey,M,,2015-2016,2016-2017,0,0,IS-Selongey
Séméac Olympique Football,M,,2014-2015,2014-2015,0,0,
Séné FC,M,,2017-2018,2022-2023,0,0,
SO Chambéry Foot,M,,2021-2022,2022-2023,0,0,
SO Châtellerault,M,,2018-2019,2022-2023,0,0,
SO Cholet,M,,2014-2015,2022-2023,0,0,
SO Romorantin,M,,2016-2017,2020-2021,0,0,
Solidarité Scolaire,M,,2021-2022,2021-2022,0,0,
Sporting Toulon Var,M,,2018-2019,2022-2023,0,0,
SR Colmar,M,,2014-2015,2015-2016,0,0,
SR Kaysersberg,M,,2016-2017,2016-2017,0,0,
SR Saint-Dié,M,,2015-2016,2015-2016,0,0,SRD Saint-Dié
SS Jeanne d'Arc,M,,2018-2019,2018-2019,0,0,A
SS Saint-Louisienne,M,,2014-2015,2014-2015,0,0,AS Saint-Louisienne
SSEP Hombourg-Haut,M,,2019-2020,2022-2023,0,0,
Stade Balarucois,M,,2015-2016,2015-2016,0,0,
Stade Beaucairois,M,,2018-2019,2018-2019,0,0,30
Stade Béthunois FC,M,,2014-2015,2022-2023,0,0,
Stade Bordelais,M,,2014-2015,2022-2023,0,0,
Stade Brestois 29,M,Ligue 1,2009-2010,2022-2023,14,0,
Stade Briochin,M,,2015-2016,2021-2022,0,0,
Stade de Reims,M,Ligue 1,2010-2011,2022-2023,13,1,
Stade de Reims,F,Championnat de France de Football Féminin,2019-2020,2022-2023,4,,
Stade Lavallois,M,Ligue 2,2009-2010,2022-2023,9,0,Stade Lavallois Mayenne FC
Stade Le Portel,M,,2016-2017,2019-2020,0,0,
Stade Malherbe Caen,M,Ligue 2,1992-1993,2022-2023,18,1,
Stade Montois,M,,2015-2016,2019-2020,0,0,Football
Stade Nazairien AF,M,,2015-2016,2015-2016,0,0,
Stade Paimpolais FC,M,,2015-2016,2019-2020,0,0,
Stade Plabennecois,M,,2014-2015,2022-2023,0,0,Football
Stade Pontivyen,M,,2014-2015,2022-2023,0,0,
Stade Rennais FC,M,Ligue 1,1995-1996,2022-2023,28,0,
Stade Ygossais,M,,2017-2018,2017-2018,0,0,
Stella Maris Douarnenez,M,,2017-2018,2018-2019,0,0,
SU Dives,M,,2015-2016,2016-2017,0,0,Cabourg Football
Sud Nivernais Imphy Decize,M,,2017-2018,2017-2018,0,0,
TA Rennes,M,,2015-2016,2019-2020,0,0,
Tarbes Pyrénées Football,M,,2014-2015,2017-2018,0,0,
Toulouse FC,M,Ligue 1,1997-1998,2022-2023,23,1,
Toulouse Métropole FC,M,,2021-2022,2021-2022,0,0,
Toulouse Rodéo FC,M,,2014-2015,2019-2020,0,0,
Toulouse Saint Joseph FC,M,,2015-2016,2015-2016,0,0,
Tours FC,M,,2009-2010,2020-2021,9,0,
Trélissac FC,M,,2014-2015,2022-2023,0,0,
Troyes AC,M,Ligue 1,1999-2000,2022-2023,19,2,
TVEC Les Sables-d'Olonne,M,,2016-2017,2017-2018,0,0,TVEC Les Sables-D'Olonne
UA Niort St Florent,M,,2016-2017,2016-2017,0,0,
UF Belleville Saint-Jean D'Ardière,M,,2016-2017,2016-2017,0,0,
UF Mâcon,M,,2016-2017,2022-2023,0,0,
UJA Maccabi Paris Métropole,M,,2015-2016,2015-2016,0,0,UJA Maccabi Paris Metropole
UL Plantières Metz,M,,2021-2022,2021-2022,0,0,
UL Rombas,M,,2017-2018,2017-2018,0,0,
UMSF Montélimar,M,,2015-2016,2018-2019,0,0,
Union Saint-Estève Esp.Perpignan MM,M,,2022-2023,2022-2023,0,,
US Alençon,M,,2016-2017,2022-2023,0,0,
US Annecy-le-Vieux,M,,2018-2019,2019-2020,0,0,
US Avize-Grauves,M,,2018-2019,2018-2019,0,0,
US Avranches,M,,2014-2015,2022-2023,0,0,Mont-Saint-Michel
US Blavozy,M,,2021-2022,2021-2022,0,0,
US Boulogne,M,,2009-2010,2020-2021,3,0,US Boulogne Côte d'Opale
US Changé,M,,2015-2016,2020-2021,0,0,enne
US Chantilly,M,,2015-2016,2020-2021,0,0,
US Charitoise Football,M,,2018-2019,2019-2020,0,0,
US Chauny,M,,2016-2017,2016-2017,0,0,
US Chauvigny,M,,2014-2015,2021-2022,0,0,
US Cheminots Paray,M,,2018-2019,2018-2019,0,0,
US Choisy-au-Bac,M,,2017-2018,2017-2018,0,0,
US Colomiers Football,M,,2015-2016,2022-2023,0,0,US Colomiers
US Concarneau,M,,2014-2015,2022-2023,0,0,
US Créteil-Lusitanos,M,,2013-2014,2021-2022,3,0,
US Escaudain Football,M,,2022-2023,2022-2023,0,,
US Esquelbecq,M,,2021-2022,2021-2022,0,0,
US Feillens,M,,2018-2019,2018-2019,0,0,
US Feurs,M,,2017-2018,2022-2023,0,0,
US Forbach,M,,2014-2015,2019-2020,0,0,
US Gieroise,M,,2015-2016,2015-2016,0,0,
US Granville,M,,2015-2016,2022-2023,0,0,
US Gravelines Foot,M,,2018-2019,2019-2020,0,0,
US Ittenheim,M,,2017-2018,2017-2018,0,0,
US La Baule - Le Pouliguen,M,,2019-2020,2019-2020,0,0,
US La Gacilly,M,,2015-2016,2015-2016,0,0,
US Laon,M,,2014-2015,2020-2021,0,0,
US Le Pays du Valois,M,,2022-2023,2022-2023,0,,
US Lège-Cap-Ferret,M,,2015-2016,2022-2023,0,0,
US Lesquin,M,,2020-2021,2020-2021,0,0,
US Liffré,M,,2015-2016,2021-2022,0,0,
US Lillebonne,M,,2014-2015,2014-2015,0,0,
US Lormont,M,,2014-2015,2014-2015,0,0,
US Lusitanos de Saint-Maur,M,,2014-2015,2020-2021,0,0,
US Macouria,M,,2014-2015,2014-2015,0,0,
US Marignane,M,,2018-2019,2018-2019,0,0,Marignane Gignac FC
US Marseille Endoume,M,,2014-2015,2019-2020,0,0,USM Endoume Catalans
US Matoury,M,,2014-2015,2018-2019,0,0,
US Maubeuge,M,,2014-2015,2016-2017,0,0,
US Mineurs de Waziers,M,,2021-2022,2021-2022,0,0,
US Montagnarde,M,,2015-2016,2020-2021,0,0,
US Mozac,M,,2019-2020,2019-2020,0,0,
US Noeux-les-Mines,M,,2014-2015,2019-2020,0,0,
US Nogent,M,,2018-2019,2018-2019,0,0,
US Oberlauterbach-Eberbach,M,,2016-2017,2016-2017,0,0,
US Oberschaeffolsheim,M,,2019-2020,2019-2020,0,0,
US Orléans,M,,2014-2015,2021-2022,5,0,
US Pays de Cassel,M,,2022-2023,2022-2023,0,,
US Perros-Louannec,M,,2021-2022,2021-2022,0,0,
US Pont Sainte-Maxence,M,,2019-2020,2022-2023,0,0,
US Quevilly-Rouen Métropole,M,Ligue 2,2014-2015,2022-2023,3,0,
US Raon-l'Étape,M,,2015-2016,2022-2023,0,0,US Raon l'Etape
US Reipertswiller,M,,2018-2019,2022-2023,0,0,
US Roye-Noyon,M,,2016-2017,2016-2017,0,0,Coeur de Picardie
US Rungis,M,,2017-2018,2017-2018,0,0,
US Saint Galmier Chamboeuf,M,,2019-2020,2019-2020,0,0,
US Saint-Berthevin Football,M,,2014-2015,2014-2015,0,0,
US Saint-Grégorienne F 35,M,,2022-2023,2022-2023,0,,
US Saint-Malo,M,,2014-2015,2022-2023,0,0,
US Saint-Maximin,M,,2016-2017,2019-2020,0,0,
US Saint-Omer,M,,2014-2015,2020-2021,0,0,
US Saint-Sernin-du-Bois,M,,2016-2017,2016-2017,0,0,
US Sainte-Marienne,M,,2015-2016,2020-2021,0,0,
US Salinière Aigues-Mortes,M,,2018-2019,2022-2023,0,0,
US Sanfloraine Saint-Flour,M,,2019-2020,2019-2020,0,0,
US Sarre-Union,M,,2014-2015,2022-2023,0,0,
US Sénart-Moissy,M,,2016-2017,2021-2022,0,0,
US Sinnamary,M,,2020-2021,2020-2021,0,0,
US St. Sauveur,M,,2015-2016,2015-2016,0,0,
US Téteghem,M,,2022-2023,2022-2023,0,,
US Thionville Lusitanos,M,,2021-2022,2021-2022,0,0,
US Tourcoing FC,M,,2019-2020,2021-2022,0,0,
US Trégunc,M,,2021-2022,2021-2022,0,0,
US Vandoeuvre,M,,2019-2020,2019-2020,0,0,
US Vic Le Comte,M,,2015-2016,2015-2016,0,0,
US Vimy,M,,2015-2016,2018-2019,0,0,
USJA Carquefou,M,,2014-2015,2021-2022,0,0,
USL Dunkerque,M,,2014-2015,2022-2023,2,0,
USM Saran,M,,2014-2015,2014-2015,0,0,
USM Senlis,M,,2017-2018,2019-2020,0,0,
USON Mondeville,M,,2018-2019,2018-2019,0,0,
USPF Saint-Philbert-de-Grand-Lieu,M,,2020-2021,2021-2022,0,0,
USSA Vertou,M,,2014-2015,2018-2019,0,0,
USSM Loos-en-Gohelle,M,,2020-2021,2020-2021,0,0,
Valenciennes FC,M,Ligue 2,2006-2007,2022-2023,17,0,
Vannes OC,M,,2009-2010,2022-2023,2,0,
Velay FC,M,,2022-2023,2022-2023,0,,
Vendée Fontenay Foot,M,,2014-2015,2020-2021,0,0,
Vendée Luçon Football,M,,2014-2015,2021-2022,0,0,Vendée Luçon Foot
Vendée Poiré-sur-Vie Football,M,,2014-2015,2019-2020,0,0,
Vierzon Foot 18,M,,2014-2015,2022-2023,0,0,Vierzon FC
Villemomble Sports,M,,2019-2020,2019-2020,0,0,
Villeneuve-d'Ascq Métropole,M,,2016-2017,2016-2017,0,0,
Voltigeurs de Châteaubriant,M,,2014-2015,2022-2023,0,0,
Ytrac Foot,M,,2016-2017,2016-2017,0,0,
Yvetot AC,M,,2015-2016,2015-2016,0,0,
