Squad,Gender,Comp,From,To,Comps,Champs,Other Names
AS Vitré,M,,2014-2015,2022-2023,0,0,
AS Yzeure,M,,2014-2015,2021-2022,0,0,Moulins Yzeure Foot
ASC Biesheim,M,,2017-2018,2021-2022,0,0,
ASC Hazebrouck,M,,2018-2019,2018-2019,0,0,
ASC La Courneuve,M,,2017-2018,2017-2018,0,0,
ASC Le Geldar,M,,2016-2017,2022-2023,0,0,
ASC Saint-Apollinaire,M,,2021-2022,2022-2023,0,0,
ASF Andrézieux,M,,2014-2015,2022-2023,0,0,Andrézieux-Bouthéon FC
ASI Murs-Erigné,M,,2019-2020,2019-2020,0,0,
ASJ Soyaux,F,Championnat de France de Football Féminin,2017-2018,2022-2023,6,,
ASL Billère,M,,2020-2021,2020-2021,0,0,
ASM Belfort,M,,2016-2017,2022-2023,0,0,
ASM Vénissieux,M,,2020-2021,2022-2023,0,0,
ASP Thionville,M,,2020-2021,2020-2021,0,0,
ASPTT - CAEB Cholet,M,,2015-2016,2016-2017,0,0,
ASPTT Albi,F,,2017-2018,2017-2018,1,,
ASPTT Brest,M,,2016-2017,2016-2017,0,0,
ASPTT Caen Football,M,,2017-2018,2017-2018,0,0,
ASPV Strasbourg,M,,2019-2020,2019-2020,0,0,AS Pierrots Vauban
ASU Grand-Santi,M,,2020-2021,2022-2023,0,0,
Aubagne FC,M,,2020-2021,2022-2023,0,0,
Auch Football,M,,2014-2015,2019-2020,0,0,
Auray FC,M,,2022-2023,2022-2023,0,,
Aurillac FCA,M,,2014-2015,2020-2021,0,0,FC Aurillac Arpajon
Avant Garde de Plouvorn,M,,2014-2015,2022-2023,0,0,
Avenir de Theix,M,,2018-2019,2019-2020,0,0,
Aviron Bayonnais FC,M,,2017-2018,2020-2021,0,0,
Avoine Olympique CC,M,,2016-2017,2022-2023,0,0,
Balma SC,M,,2014-2015,2017-2018,0,0,
Beaune FC,M,,2018-2019,2018-2019,0,0,AS Beaune
Bergerac Foot,M,,2016-2017,2022-2023,0,0,Bergerac Périgord FC
Berre SC,M,,2015-2016,2015-2016,0,0,
Besançon Football,M,,2015-2016,2018-2019,0,0,
Blagnac FC,M,,2015-2016,2016-2017,0,0,
Blois Foot 41,M,,2014-2015,2018-2019,0,0,Blois Football 41
Borgo FC,M,,2014-2015,2016-2017,0,0,
Bourg-en-Bresse Péronnas,M,,2015-2016,2021-2022,3,0,Football Bourg en Bresse Péronnas 01
Bourges 18,M,,2015-2016,2020-2021,0,0,
Bourges Foot,M,,2015-2016,2019-2020,0,0,
Bourges Foot 18,M,,2022-2023,2022-2023,0,,
Bresse Jura Foot,M,,2021-2022,2021-2022,0,0,
Bretigny Foot CS,M,,2015-2016,2015-2016,0,0,
CA Bastia,M,,2013-2014,2013-2014,1,0,
CA Boulay,M,,2019-2020,2019-2020,0,0,
CA Eperlecquois,M,,2022-2023,2022-2023,0,,
CA Meymacois,M,,2014-2015,2014-2015,0,0,
CA Pontarlier,M,,2014-2015,2020-2021,0,0,
Calais RUFC,M,,2014-2015,2014-2015,0,0,
Calonne-Ricouart FC Cité 6,M,,2021-2022,2021-2022,0,0,
CAS Escaudoeuvres,M,,2018-2019,2018-2019,0,0,
Castelnau Le Crès FC,M,,2020-2021,2020-2021,0,0,
CE Palavas,M,,2016-2017,2016-2017,0,0,
CEP Lorient,M,,2019-2020,2019-2020,0,0,
Cergy-Pontoise FC,M,,2021-2022,2021-2022,0,0,
Chamois Niortais FC,M,Ligue 2,2012-2013,2022-2023,11,0,
Champigny FC 94,M,,2014-2015,2016-2017,0,0,
Chassieu Décines FC,M,,2015-2016,2019-2020,0,0,
Chaumont FC,M,,2016-2017,2017-2018,0,0,FC Chaumont
Claye-Souilly SF,M,,2016-2017,2016-2017,0,0,
Clermont Foot,M,Ligue 1,2009-2010,2022-2023,14,0,
Club athlétique de Vitry,M,,2020-2021,2020-2021,0,0,
Club Colonial,M,,2016-2017,2021-2022,0,0,de Fort-de-France
Club Franciscain,M,,2014-2015,2021-2022,0,0,
Cluses-Scionzier FC,M,,2016-2017,2017-2018,0,0,
CMS Oissel,M,,2014-2015,2022-2023,0,0,
CO Avallon,M,,2014-2015,2017-2018,0,0,
CO Les Ulis,M,,2017-2018,2022-2023,0,0,
CO Saint-Saturnin-Arche,M,,2015-2016,2015-2016,0,0,
Cormontreuil FC,M,,2019-2020,2019-2020,0,0,
COS Villers-Lès-Nancy,M,,2022-2023,2022-2023,0,,
Cosne USC Football,M,,2020-2021,2022-2023,0,0,
Côte Chaude Sportif Saint-Ètienne,M,,2016-2017,2021-2022,0,0,
CPB Bréquigny Foot,M,,2015-2016,2015-2016,0,0,
Croix Football Iris Club,M,,2014-2015,2019-2020,0,0,
CS Avion,M,,2016-2017,2018-2019,0,0,
CS Betton,M,,2019-2020,2019-2020,0,0,
CS Chaumontois,M,,2022-2023,2022-2023,0,,
CS Feytiat,M,,2017-2018,2021-2022,0,0,
CS Homécourt,M,,2016-2017,2016-2017,0,0,
CS Louhans-Cuiseaux,M,,2014-2015,2022-2023,0,0,Louhans Cuiseaux FC
CS Mainvilliers,M,,2015-2016,2021-2022,0,0,
CS Meaux Academy,M,,2014-2015,2019-2020,0,0,
CS Moulien,M,,2014-2015,2019-2020,0,0,
CS Neuvillois,M,,2021-2022,2021-2022,0,0,
